"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет всплывающие подсказки для каждого тарифа","0","Проверка подсказок тарифов: Разговорчивый","tests","Tue Aug 19 19:17:42 MSK 2025","skipped","Tue Aug 19 19:17:42 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет полный workflow заказа такси от выбора до подтверждения","376","Полный процесс заказа такси","tests","Tue Aug 19 19:18:18 MSK 2025","passed","Tue Aug 19 19:18:18 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет всплывающие подсказки для каждого тарифа","311","Проверка подсказок тарифов: Отпускной","tests","Tue Aug 19 19:17:35 MSK 2025","passed","Tue Aug 19 19:17:35 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет отображение всех обязательных полей формы заказа","112","Проверка полей формы заказа","tests","Tue Aug 19 19:18:10 MSK 2025","passed","Tue Aug 19 19:18:10 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет закрытие окна заказа при нажатии на крестик","495","Проверка отмены заказа","tests","Tue Aug 19 19:19:34 MSK 2025","skipped","Tue Aug 19 19:19:35 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет всплывающие подсказки для каждого тарифа","287","Проверка подсказок тарифов: Глянцевый","tests","Tue Aug 19 19:18:02 MSK 2025","passed","Tue Aug 19 19:18:03 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет всплывающие подсказки для каждого тарифа","0","Проверка подсказок тарифов: Сонный","tests","Tue Aug 19 19:17:19 MSK 2025","skipped","Tue Aug 19 19:17:19 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет появление номера заказа после завершения таймера","21960","Ожидание завершения заказа и проверка номера","tests","Tue Aug 19 19:18:29 MSK 2025","passed","Tue Aug 19 19:18:51 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет, что стоимость не меняется в процессе оформления","29027","Проверка сохранения стоимости заказа","tests","Tue Aug 19 19:18:57 MSK 2025","passed","Tue Aug 19 19:19:26 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет всплывающие подсказки для каждого тарифа","775","Проверка подсказок тарифов: Рабочий","tests","Tue Aug 19 19:17:10 MSK 2025","passed","Tue Aug 19 19:17:11 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет, что отображается 6 тарифов и только 1 активный","122","Проверка отображения тарифов","tests","Tue Aug 19 19:17:01 MSK 2025","passed","Tue Aug 19 19:17:01 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
"Тест проверяет всплывающие подсказки для каждого тарифа","827","Проверка подсказок тарифов: Утешительный","tests","Tue Aug 19 19:17:53 MSK 2025","passed","Tue Aug 19 19:17:53 MSK 2025","TestOrderingTaxi","test_ordering_taxi","",""
